"ID Number,Student Name,Department,Year,Percentage,Local Hackathons Participated,Local Hackathons Won,Paper Presentations,National Level Hackathons participated,National Level Hackathons Won,Certifications,R&D Work Rating,Social Interactions,Paper Publications"
"21091A0738,Charles Jones,Mech,4,3.31,28,3,5,0,0,25,3,3,28"
"22091A028,Jonathan York,EEE,3,68.69,2,7,5,0,0,5,3,10,8"
"22091A0724,Angela Johnson,Mech,3,34.14,18,2,1,3,4,1,1,0,8"
"21091A3488,David Werner,Business Systems,4,49.31,2,8,6,2,0,14,4,5,2"
"23091A0224,Eric Hunter,EEE,2,43.12,1,5,5,4,1,2,2,5,1"
"21091A0595,Karina Hernandez,CSE,4,18.01,9,3,9,1,0,25,2,6,30"
"24091A0596,Keith Reed,CSE,1,42.5,24,8,9,4,3,6,4,9,10"
"23091A3356,Olivia Evans,AIML,2,68.11,16,10,7,5,0,7,2,0,24"
"23091A0755,Denise Scott,Mech,2,48.06,14,7,6,2,1,4,3,0,16"
"23091A3445,Lisa Young,Business Systems,2,51.81,13,3,7,3,4,30,3,5,29"
"24091A3244,Gary Pacheco,DS,1,14.39,2,0,9,2,0,8,4,2,21"
"24091A0574,Benjamin Gutierrez,CSE,1,92.75,4,10,3,1,1,4,2,8,22"
"23091A3367,Mary Merritt,AIML,2,81.64,18,10,10,1,1,28,2,2,3"
"21091A051,Ashley Elliott,CSE,4,41.18,4,7,3,4,4,15,2,5,0"
"22091A3266,Justin Brown,DS,3,60.69,16,3,7,1,3,1,3,9,11"
"21091A327,Brianna Robertson,DS,4,91.37,20,8,1,2,2,4,1,7,22"
"23091A3468,Patricia Wilson,Business Systems,2,70.07,24,7,2,1,1,4,5,4,17"
"22091A3415,Jacob Torres,Business Systems,3,69.0,5,2,3,4,4,5,5,8,26"
"24091A3355,Dr. Tom Patel,AIML,1,25.33,16,8,6,5,0,15,1,10,28"
"21091A0776,William Hodge,Mech,4,32.13,8,8,10,5,5,8,5,9,30"
"22091A0131,Michael Jackson,Civil,3,33.0,0,10,6,1,2,26,4,8,11"
"24091A0741,Ashley Good,Mech,1,73.25,20,3,2,1,1,4,1,0,21"
"23091A3465,Tina Williams,Business Systems,2,43.5,16,3,5,5,0,0,2,10,28"
"23091A3332,Brandon Gutierrez,AIML,2,55.78,4,5,2,4,5,25,1,8,16"
"23091A3375,Kevin Anderson DDS,AIML,2,13.87,27,8,0,0,3,6,4,2,19"
"22091A0158,Andrea Jackson,Civil,3,40.83,1,2,0,0,4,5,3,10,1"
"21091A0284,Brent Hamilton,EEE,4,68.3,3,6,5,2,4,16,5,8,21"
"21091A3421,Timothy Fitzgerald,Business Systems,4,21.02,26,0,10,2,0,16,3,8,29"
"22091A0292,Mark George,EEE,3,90.09,23,3,4,3,4,28,5,5,13"
"21091A0756,Andre Stein,Mech,4,7.6,24,6,6,1,2,13,5,8,25"
"23091A0288,Scott Powers,EEE,2,76.3,4,4,1,0,2,28,3,2,7"
"21091A0138,Heather Silva,Civil,4,32.45,4,9,2,2,5,16,3,3,15"
"23091A015,Mason Lawson,Civil,2,42.98,3,6,7,5,5,29,1,10,5"
"21091A3449,Alexis Poole,Business Systems,4,18.23,12,0,9,5,0,5,3,3,25"
"23091A3397,Jake Rodriguez,AIML,2,31.01,11,10,7,3,5,2,5,9,13"
"21091A3428,Christina Zamora,Business Systems,4,6.77,26,4,6,4,4,17,5,3,10"
"23091A0156,Victoria Edwards,Civil,2,86.49,21,5,3,5,0,27,1,9,30"
"24091A0132,Jessica Obrien,Civil,1,66.53,12,9,4,5,1,14,3,0,2"
"21091A0563,Joshua Jackson,CSE,4,7.35,8,7,8,1,3,2,2,0,1"
"21091A0235,Nina Cooper,EEE,4,83.15,18,5,1,0,5,27,2,1,22"
"22091A0561,Kristine Sandoval,CSE,3,40.24,9,2,6,3,5,24,3,5,16"
"24091A3232,Jessica Banks,DS,1,55.59,12,2,7,3,1,0,2,0,10"
"23091A0296,Dr. Cheryl Lopez,EEE,2,42.97,14,6,8,0,4,25,1,2,3"
"23091A3273,Stephanie Price,DS,2,18.91,21,1,10,4,1,8,4,10,10"
"21091A3316,Krystal Mosley MD,AIML,4,98.47,2,1,10,3,0,24,3,2,5"
"24091A3271,Judith Sullivan,DS,1,93.08,8,1,1,5,3,30,3,7,27"
"21091A3294,Bryan Boyd,DS,4,1.04,10,5,2,2,0,25,5,6,5"
"22091A0286,Amanda Johnson,EEE,3,73.05,28,5,3,2,1,14,3,8,2"
"21091A0116,Suzanne Sullivan,Civil,4,41.72,25,10,5,3,1,29,5,9,1"
"24091A0773,Jesse Parker,Mech,1,0.13,22,4,2,2,3,16,4,5,7"
"22091A3272,Heather Escobar,DS,3,10.04,11,1,1,3,4,17,1,9,10"
"24091A3381,Michael Harrison,AIML,1,7.14,3,2,5,1,1,19,1,0,5"
"23091A0594,Susan Thomas,CSE,2,90.19,4,5,1,3,0,2,3,8,26"
"22091A0256,Cynthia Ward,EEE,3,42.92,6,7,8,4,0,7,1,3,26"
"21091A0759,Brooke Lopez,Mech,4,74.15,23,4,2,1,0,17,3,1,29"
"24091A3232,James Palmer,DS,1,72.02,20,1,7,4,4,18,2,1,27"
"22091A0153,Justin Smith,Civil,3,58.14,10,2,1,5,3,23,1,0,21"
"24091A3347,Terri Newman,AIML,1,61.93,1,10,5,3,0,28,4,6,0"
"23091A0285,Nicole Huff,EEE,2,22.26,1,6,10,3,0,14,4,9,26"
"22091A3232,Jonathan Evans,DS,3,21.3,0,7,9,0,4,12,3,3,15"
"24091A0567,Kristina Gray,CSE,1,11.23,28,8,1,2,1,3,2,0,26"
"23091A0250,Brian Yu,EEE,2,81.1,27,2,3,2,4,18,4,6,18"
"21091A3212,Emily Brooks,DS,4,36.4,21,8,10,5,3,29,3,7,29"
"23091A0233,Miguel Lee,EEE,2,61.62,20,9,5,4,1,18,5,4,11"
"24091A336,Kevin Gonzalez,AIML,1,34.31,3,3,3,4,3,21,2,6,20"
"24091A3476,Austin Romero,Business Systems,1,82.01,7,10,2,3,1,29,4,5,9"
"24091A3389,Mr. Shane Patterson,AIML,1,24.65,30,3,0,0,1,23,1,4,6"
"21091A3271,Rebecca Reed,DS,4,76.16,16,3,9,3,4,29,3,5,1"
"22091A0138,Fred Santos,Civil,3,59.97,27,10,5,0,4,17,3,3,21"
"21091A3340,Rebecca Weaver,AIML,4,70.92,3,1,9,1,3,6,3,6,26"
"23091A3219,Stephen Sanders,DS,2,62.01,20,5,5,0,5,21,1,9,18"
"24091A0771,Jesus Nguyen,Mech,1,3.58,21,1,0,5,5,28,4,0,26"
"23091A3397,Christopher Martin,AIML,2,49.24,1,1,1,3,2,27,3,3,7"
"21091A3450,Jessica Rowe,Business Systems,4,96.61,13,6,3,5,5,1,3,3,16"
"23091A0237,Allison Fisher,EEE,2,34.42,16,5,6,2,0,9,1,7,26"
"21091A3252,Jason Drake,DS,4,34.66,30,8,2,5,5,12,1,8,26"
"22091A0247,Donna Mccormick,EEE,3,64.14,13,6,6,5,5,10,5,3,28"
"22091A071,Erik Ewing,Mech,3,50.07,16,9,6,0,5,26,2,1,10"
"22091A0169,Kenneth Ochoa,Civil,3,23.62,26,4,1,1,0,14,4,6,7"
"23091A3229,Troy Adkins,DS,2,34.15,15,2,5,2,0,8,1,3,14"
"23091A0172,Johnny Meadows,Civil,2,84.87,19,6,1,5,5,4,2,2,5"
"23091A3471,Shirley Wise,Business Systems,2,27.37,27,2,10,2,5,8,2,4,7"
"23091A0560,Michelle Bryant,CSE,2,23.59,25,5,1,4,3,29,2,0,1"
"22091A0242,Mary Singh,EEE,3,16.66,8,5,0,4,0,18,1,0,28"
"21091A3490,Amanda Meyer,Business Systems,4,68.45,1,1,10,4,2,10,1,8,13"
"21091A0240,Mary Jenkins,EEE,4,85.52,22,5,10,4,5,18,2,0,19"
"22091A0760,Donna Morales,Mech,3,97.97,6,6,0,4,2,3,1,7,27"
"21091A0531,Sara Holt,CSE,4,3.05,13,3,10,4,5,2,4,10,15"
"21091A3455,James Griffith,Business Systems,4,70.18,0,4,2,1,1,6,5,10,10"
"24091A3223,Andrea Velasquez,DS,1,27.37,7,8,6,1,0,16,1,2,13"
"23091A017,Robin Costa,Civil,2,80.39,3,9,3,2,5,16,3,2,29"
"24091A3357,Alexis Lopez,AIML,1,95.96,6,9,6,4,4,3,2,7,6"
"22091A3220,Martin Mason,DS,3,24.23,23,9,0,0,0,21,1,8,9"
"22091A3494,Chelsea Smith,Business Systems,3,30.8,15,8,10,2,0,27,2,0,27"
"24091A3291,Tyler Baker,DS,1,78.78,20,8,5,4,3,3,2,6,29"
"24091A0571,Rebecca Hernandez,CSE,1,90.42,29,6,5,3,3,17,5,1,16"
"22091A018,Brandi Smith,Civil,3,98.81,29,0,5,3,5,25,2,8,2"
"22091A0227,Daniel Adams,EEE,3,49.32,9,9,1,4,1,24,3,10,21"
"22091A0563,Daniel Barton,CSE,3,50.22,16,1,8,3,5,30,2,1,14"
"23091A0111,Terry Cunningham,Civil,2,21.86,21,1,0,3,0,28,1,1,13"
"21091A3322,Robert Andrews,AIML,4,54.52,4,7,6,1,5,2,3,4,29"
"22091A3456,Thomas Barnes,Business Systems,3,39.7,5,3,2,2,2,5,3,6,25"
"24091A3249,Eduardo Odom,DS,1,50.65,3,9,1,3,1,27,5,3,10"
"22091A3380,Benjamin Franco,AIML,3,74.64,22,4,2,4,3,23,1,8,23"
"22091A0155,Jay Pope,Civil,3,0.58,6,7,1,1,5,17,1,9,11"
"23091A0128,Tara Gomez,Civil,2,89.52,3,3,10,2,2,22,5,1,7"
"22091A0728,Frances Strong,Mech,3,85.68,19,4,10,5,2,9,3,4,13"
"24091A326,Teresa Shea,DS,1,60.46,7,5,6,1,4,9,5,10,20"
"23091A333,Daniel Simpson,AIML,2,91.42,27,7,8,4,4,11,4,0,27"
"22091A0253,Nancy Thomas,EEE,3,24.55,11,7,0,2,3,11,3,8,14"
"24091A0547,Tamara Garza,CSE,1,91.48,19,5,0,0,2,8,1,3,4"
"24091A012,Richard Carroll,Civil,1,94.74,23,5,0,2,3,12,5,9,14"
"23091A3258,James Lopez,DS,2,20.13,24,6,10,0,4,16,2,7,13"
"22091A0279,Andrew Gibson,EEE,3,50.25,16,10,2,0,3,0,1,5,13"
"23091A3463,Katrina Jackson,Business Systems,2,92.97,20,1,0,0,4,8,1,3,19"
"24091A0553,Robert Martinez,CSE,1,67.3,22,0,2,4,0,25,1,5,23"
"24091A0214,Thomas Reyes,EEE,1,53.13,1,9,7,4,1,9,2,4,16"
"23091A0293,Marc Hill,EEE,2,55.84,16,1,1,4,1,5,1,7,14"
"23091A3360,Bruce Haney,AIML,2,16.29,20,2,5,3,1,11,2,3,27"
"22091A022,Kayla Walters,EEE,3,91.95,23,9,1,5,5,7,4,10,24"
"22091A3410,Matthew Lang,Business Systems,3,6.32,13,0,1,5,5,9,4,0,14"
"23091A0757,James Kerr,Mech,2,78.39,0,0,0,0,1,27,1,8,9"
"22091A0130,Ashley Myers,Civil,3,27.55,3,5,6,5,5,5,4,8,7"
"22091A0515,Brittany Hansen,CSE,3,95.21,17,3,7,2,5,1,5,0,18"
"24091A3266,Susan Bell,DS,1,36.14,24,3,7,2,1,27,4,4,25"
"22091A0566,Douglas Stout,CSE,3,36.1,28,2,5,3,2,8,2,1,8"
"21091A0268,Theresa Mckinney,EEE,4,93.87,19,1,8,0,4,0,1,7,30"
"24091A0254,Carol Flowers,EEE,1,7.56,1,10,2,1,3,28,3,0,11"
"22091A0790,Evelyn Garcia,Mech,3,26.87,23,10,2,5,2,18,3,10,3"
"23091A3452,Michelle Ochoa,Business Systems,2,33.78,1,7,6,0,0,28,2,7,29"
"22091A0245,Nicholas Freeman,EEE,3,29.68,0,0,7,4,1,24,4,4,28"
"23091A0543,Jason Bradley,CSE,2,12.01,27,5,7,0,1,11,3,9,3"
"22091A3433,Victoria Johnson,Business Systems,3,74.83,19,1,10,2,4,11,4,4,16"
"21091A329,Ivan White,DS,4,59.57,0,7,9,4,4,9,2,0,21"
"24091A3296,Jennifer Moore,DS,1,97.98,13,7,4,4,0,21,5,6,1"
"22091A0251,Jeffrey Collins,EEE,3,35.41,19,4,4,5,0,22,3,8,16"
"24091A0196,Mckenzie Palmer,Civil,1,79.35,9,2,0,5,2,29,5,6,3"
"24091A0562,Cindy Fields,CSE,1,22.9,8,10,6,2,1,19,1,8,16"
"21091A0595,Barbara Pham,CSE,4,42.77,26,5,0,1,4,24,1,6,2"
"22091A3473,Becky Garcia,Business Systems,3,44.71,2,8,1,3,0,24,3,0,4"
"22091A0722,Jacqueline Sharp,Mech,3,31.22,24,8,3,1,3,27,1,0,8"
"21091A0711,Curtis Perez,Mech,4,24.87,4,4,5,0,1,30,4,3,15"
"21091A3384,Amy Meadows,AIML,4,7.49,25,9,7,4,2,9,1,5,16"
"24091A3423,Dr. Aaron Bryant,Business Systems,1,46.69,7,6,1,1,5,3,1,2,1"
"21091A0232,Abigail Robinson,EEE,4,86.03,29,0,7,5,2,11,2,3,17"
"24091A3398,Joshua Clark,AIML,1,58.88,24,4,1,4,4,21,3,1,28"
"22091A0785,Michelle Hicks,Mech,3,0.72,20,7,5,2,4,29,1,0,4"
"22091A3493,Mike Bonilla,Business Systems,3,29.59,29,5,9,0,3,18,4,9,14"
"22091A3469,Thomas Wheeler,Business Systems,3,83.39,21,2,10,1,5,24,5,2,0"
"24091A3299,Katie Kirby,DS,1,84.46,14,8,6,4,3,4,5,1,27"
"23091A0172,Laura Young,Civil,2,0.79,0,5,7,5,2,29,5,5,7"
"21091A0588,Robin Simmons,CSE,4,39.51,29,3,10,4,3,22,1,9,21"
"21091A076,Christopher Walker,Mech,4,34.82,14,7,6,2,5,22,5,4,8"
"24091A3371,Charles Bell,AIML,1,23.19,3,7,10,3,4,7,2,4,21"
"22091A0567,Miguel Mathews,CSE,3,76.23,20,7,5,1,2,19,5,10,23"
"23091A327,Judith Bryant,DS,2,38.8,13,10,6,1,5,18,1,6,14"
"21091A0187,Kathleen Reese,Civil,4,77.75,6,9,10,4,0,29,1,9,1"
"21091A0538,Clarence Hall,CSE,4,95.93,29,3,0,0,5,28,2,6,19"
"22091A3423,Hayley Norton,Business Systems,3,38.85,5,4,3,0,5,29,5,8,11"
"24091A073,Rachel Dawson,Mech,1,14.01,8,4,10,2,3,28,1,10,12"
"21091A3413,Evan Wilson,Business Systems,4,25.62,28,5,8,3,3,21,4,2,23"
"23091A0275,Alexis Ingram,EEE,2,60.9,4,10,2,0,4,12,5,1,3"
"22091A0282,Jason Peck,EEE,3,58.43,17,1,9,3,4,16,2,9,18"
"23091A0133,James Lewis,Civil,2,19.32,29,3,1,3,4,27,5,10,16"
"23091A013,Joshua Smith,Civil,2,20.79,11,9,1,3,1,24,1,0,15"
"24091A3460,Ashley Chavez,Business Systems,1,47.2,24,4,9,3,4,16,5,5,12"
"22091A3215,Teresa Beard,DS,3,20.65,27,6,10,1,0,24,4,10,1"
"22091A0512,Morgan Sandoval,CSE,3,50.45,17,6,2,0,1,11,5,3,29"
"23091A0212,Ronald Harris,EEE,2,84.76,13,8,7,0,5,13,1,1,10"
"22091A3245,Michelle Kelly,DS,3,36.72,0,5,7,5,4,13,5,4,11"
"23091A0254,Breanna Sullivan,EEE,2,78.16,27,9,9,3,1,17,3,8,16"
"22091A0286,Brian Dean,EEE,3,22.93,27,3,8,0,5,23,2,8,21"
"24091A0570,Jacob Adams,CSE,1,42.6,2,3,8,2,5,29,5,0,1"
"24091A0110,Jesse Jones,Civil,1,89.25,23,5,6,0,2,22,2,4,6"
"23091A3297,John Madden,DS,2,48.29,5,6,10,3,2,6,5,5,13"
"21091A0734,Mr. Reginald Martinez Jr.,Mech,4,91.27,10,4,4,1,2,3,3,5,30"
"21091A0172,Katherine Vasquez,Civil,4,41.1,2,10,9,0,1,22,3,3,17"
"22091A3399,Karla Perry,AIML,3,59.79,17,10,1,0,5,22,2,4,4"
"21091A0765,Aaron Williamson,Mech,4,46.0,12,6,4,1,2,14,1,10,16"
"22091A3268,Margaret Owen,DS,3,74.47,2,5,1,3,2,1,1,10,6"
"23091A3327,Anthony Ramirez,AIML,2,23.55,8,3,4,0,3,17,2,1,25"
"24091A0262,Dominique Day,EEE,1,67.57,30,3,1,5,4,7,4,0,8"
"24091A0135,Kelly Wood,Civil,1,48.0,14,4,3,2,0,20,2,6,4"
"22091A0148,Tyler Davis,Civil,3,9.69,1,1,7,3,4,15,4,3,19"
"21091A0129,Lisa Keith,Civil,4,76.86,18,4,2,3,1,19,1,2,22"
"21091A0227,Sandra Garcia,EEE,4,25.64,16,1,7,5,4,13,3,5,9"
"23091A3332,Kristen Harper,AIML,2,76.73,11,4,7,4,0,16,2,10,25"
"24091A3223,Janice West,DS,1,6.96,3,7,10,4,4,12,4,3,0"
"21091A3440,Regina Williams,Business Systems,4,26.04,5,10,2,4,0,13,4,6,15"
"23091A0149,Melanie Walls,Civil,2,2.92,28,4,8,4,5,17,5,10,25"
"21091A0294,Michael Williams,EEE,4,36.6,22,8,3,3,3,6,3,5,26"
"22091A0128,Kristen Wilcox,Civil,3,46.57,30,7,0,0,2,1,2,0,1"
"24091A0528,Jordan Berry,CSE,1,66.9,21,7,3,0,0,28,5,6,2"
"24091A0287,Michelle Koch,EEE,1,80.37,2,2,8,1,0,5,2,10,5"
"21091A0542,James White,CSE,4,50.5,20,9,5,1,0,30,2,1,27"
"24091A017,Michelle Smith,Civil,1,58.73,11,10,3,2,5,13,4,9,20"
"21091A0154,Dana Williams,Civil,4,66.88,30,2,2,4,0,1,3,4,21"
"21091A0286,Scott Jones,EEE,4,14.63,1,5,7,4,2,10,3,3,25"
